Name,Addresses
LON_Internal_Servers,"srv-lon-app01.corp.local,srv-lon-app02.corp.local,srv-lon-app03.corp.local,srv-lon-app04.corp.local,srv-lon-app05.corp.local,srv-lon-app06.corp.local,srv-lon-app07.corp.local,srv-lon-app08.corp.local,srv-lon-app09.corp.local,srv-lon-app10.corp.local,srv-lon-app11.corp.local,srv-lon-app12.corp.local,srv-lon-app13.corp.local,srv-lon-app14.corp.local,srv-lon-app15.corp.local,srv-lon-app16.corp.local,srv-lon-app17.corp.local,srv-lon-app18.corp.local,srv-lon-app19.corp.local,srv-lon-app20.corp.local"
LON_DMZ_Web,"net-tier-172_1_0_0_16,net-tier-172_2_0_0_16,net-tier-172_3_0_0_16,net-tier-172_4_0_0_16,net-tier-172_5_0_0_16,net-tier-172_6_0_0_16"
LON_External_Vendors,"updates.lon.vendor.local,telemetry.lon.iot"
LON_Legacy,"srv-lon-app07.corp.local,srv-lon-app03.corp.local,net-tier-172_1_0_0_16,srv-lon-app06.corp.local"
LON_Anylike,"any-address-alias,srv-lon-app11.corp.local,db.lon.corp.local,updates.lon.vendor.local,legacy.lon.corp"
LON_Branch_1_Subnets,"net-tier-172_9_0_0_16,srv-lon-app20.corp.local,net-tier-172_8_0_0_16,db.lon.corp.local"
LON_Branch_2_Subnets,"srv-lon-app01.corp.local,srv-lon-app15.corp.local,srv-lon-app18.corp.local,srv-lon-app05.corp.local"
LON_Branch_3_Subnets,"srv-lon-app10.corp.local,srv-lon-app04.corp.local,range-lon-segment"
LON_Corp_Internal,"LON_Internal_Servers,LON_Branch_1_Subnets,LON_Branch_2_Subnets,LON_Branch_3_Subnets"
LON_Internet_Tiers,"LON_DMZ_Web,LON_External_Vendors"
LON_Legacy_Vendors,"LON_Legacy,LON_External_Vendors,LON_Anylike"
LON_All_Branches,"LON_Branch_1_Subnets,LON_Branch_2_Subnets,LON_Branch_3_Subnets"
LON_All_Addresses,"LON_Corp_Internal,LON_Internet_Tiers,LON_Legacy_Vendors"
