Name,Addresses
Internal_Servers,"srv-app01.corp.local,srv-app02.corp.local,srv-app03.corp.local,srv-app04.corp.local,srv-app05.corp.local,srv-app06.corp.local,srv-app07.corp.local,srv-app08.corp.local,srv-app09.corp.local,srv-app10.corp.local,srv-app11.corp.local,srv-app12.corp.local,srv-app13.corp.local,srv-app14.corp.local,srv-app15.corp.local,srv-app16.corp.local,srv-app17.corp.local,srv-app18.corp.local,srv-app19.corp.local,srv-app20.corp.local"
DMZ_Web_Tier,"net-dmz-10.1.1.0_24,net-dmz-10.1.2.0_24,net-dmz-10.1.3.0_24,net-dmz-10.1.4.0_24,net-dmz-10.1.5.0_24,net-dmz-10.1.6.0_24"
External_Vendors,"updates.vendor.local,telemetry.iot.local"
Legacy_Servers,"net-dmz-10.1.1.0_24,any-address-alias,srv-app16.corp.local,net-dmz-10.1.7.0_24,srv-app19.corp.local"
Anylike_Addresses,"any-address-alias,srv-app09.corp.local,srv-app10.corp.local,range-branch-subnet-slice"
Branch_1_Subnets,"net-trust-198.18.0.0_15,srv-app10.corp.local,srv-app11.corp.local,net-dmz-10.1.2.0_24"
Branch_2_Subnets,"net-dmz-10.1.3.0_24,net-dmz-10.1.9.0_24,srv-app10.corp.local"
Branch_3_Subnets,"srv-app12.corp.local,net-trust-100.64.0.0_10,legacy.intranet.corp"
Branch_4_Subnets,"range-dmz-printers,srv-app18.corp.local,net-trust-198.18.0.0_15"
Branch_5_Subnets,"net-dmz-10.1.8.0_24,net-trust-172.16.0.0_12,net-dmz-10.1.10.0_24,telemetry.iot.local"
Corporate_All_Internal,"Internal_Servers,Branch_1_Subnets,Branch_2_Subnets,Branch_3_Subnets,Branch_4_Subnets,Branch_5_Subnets"
Internet_Facing_Tiers,"DMZ_Web_Tier,External_Vendors"
Legacy_And_Vendors,"Legacy_Servers,External_Vendors,Anylike_Addresses"
All_Branch_Subnets,"Branch_1_Subnets,Branch_2_Subnets,Branch_3_Subnets,Branch_4_Subnets,Branch_5_Subnets"
Corp_All_Addresses,"Corporate_All_Internal,Internet_Facing_Tiers,Legacy_And_Vendors"
