Name,Addresses
SG_Internal_Servers,"srv-sg-app01.corp.local,srv-sg-app02.corp.local,srv-sg-app03.corp.local,srv-sg-app04.corp.local,srv-sg-app05.corp.local,srv-sg-app06.corp.local,srv-sg-app07.corp.local,srv-sg-app08.corp.local,srv-sg-app09.corp.local,srv-sg-app10.corp.local,srv-sg-app11.corp.local,srv-sg-app12.corp.local,srv-sg-app13.corp.local,srv-sg-app14.corp.local,srv-sg-app15.corp.local,srv-sg-app16.corp.local,srv-sg-app17.corp.local,srv-sg-app18.corp.local,srv-sg-app19.corp.local,srv-sg-app20.corp.local"
SG_DMZ_Web,"net-tier-192_1_0_0_16,net-tier-192_2_0_0_16,net-tier-192_3_0_0_16,net-tier-192_4_0_0_16,net-tier-192_5_0_0_16,net-tier-192_6_0_0_16"
SG_External_Vendors,"updates.sg.vendor.local,telemetry.sg.iot"
SG_Legacy,"srv-sg-app08.corp.local,net-tier-192_7_0_0_16,net-tier-192_9_0_0_16,srv-sg-app06.corp.local"
SG_Anylike,"any-address-alias,srv-sg-app03.corp.local,srv-sg-app11.corp.local,srv-sg-app09.corp.local,srv-sg-app16.corp.local"
SG_Branch_1_Subnets,"srv-sg-app07.corp.local,srv-sg-app04.corp.local,srv-sg-app15.corp.local,net-tier-192_3_0_0_16"
SG_Branch_2_Subnets,"any-address-alias,srv-sg-app16.corp.local,srv-sg-app15.corp.local,srv-sg-app20.corp.local,net-core-192.168.0.0_16"
SG_Branch_3_Subnets,"net-tier-192_4_0_0_16,srv-sg-app05.corp.local,net-tier-192_9_0_0_16,net-tier-192_10_0_0_16,db.sg.corp.local"
SG_Corp_Internal,"SG_Internal_Servers,SG_Branch_1_Subnets,SG_Branch_2_Subnets,SG_Branch_3_Subnets"
SG_Internet_Tiers,"SG_DMZ_Web,SG_External_Vendors"
SG_Legacy_Vendors,"SG_Legacy,SG_External_Vendors,SG_Anylike"
SG_All_Branches,"SG_Branch_1_Subnets,SG_Branch_2_Subnets,SG_Branch_3_Subnets"
SG_All_Addresses,"SG_Corp_Internal,SG_Internet_Tiers,SG_Legacy_Vendors"
