Name,Type,Value
net-core-10.0.0.0_8,ip-netmask,10.0.0.0/8
net-tier-10_1_1_0_24,ip-netmask,10.1.1.0/24
net-tier-10_1_2_0_24,ip-netmask,10.1.2.0/24
net-tier-10_1_3_0_24,ip-netmask,10.1.3.0/24
net-tier-10_1_4_0_24,ip-netmask,10.1.4.0/24
net-tier-10_1_5_0_24,ip-netmask,10.1.5.0/24
net-tier-10_1_6_0_24,ip-netmask,10.1.6.0/24
net-tier-10_1_7_0_24,ip-netmask,10.1.7.0/24
net-tier-10_1_8_0_24,ip-netmask,10.1.8.0/24
net-tier-10_1_9_0_24,ip-netmask,10.1.9.0/24
net-tier-10_1_10_0_24,ip-netmask,10.1.10.0/24
srv-la-app01.corp.local,ip-netmask,10.170.252.10/32
srv-la-app02.corp.local,ip-netmask,10.134.26.11/32
srv-la-app03.corp.local,ip-netmask,10.253.36.12/32
srv-la-app04.corp.local,ip-netmask,10.139.246.13/32
srv-la-app05.corp.local,ip-netmask,10.156.103.14/32
srv-la-app06.corp.local,ip-netmask,10.27.61.15/32
srv-la-app07.corp.local,ip-netmask,10.121.205.16/32
srv-la-app08.corp.local,ip-netmask,10.125.9.17/32
srv-la-app09.corp.local,ip-netmask,10.11.186.18/32
srv-la-app10.corp.local,ip-netmask,10.188.179.19/32
srv-la-app11.corp.local,ip-netmask,10.191.16.20/32
srv-la-app12.corp.local,ip-netmask,10.189.74.21/32
srv-la-app13.corp.local,ip-netmask,10.114.92.22/32
srv-la-app14.corp.local,ip-netmask,10.141.126.23/32
srv-la-app15.corp.local,ip-netmask,10.6.235.24/32
srv-la-app16.corp.local,ip-netmask,10.81.174.25/32
srv-la-app17.corp.local,ip-netmask,10.251.126.26/32
srv-la-app18.corp.local,ip-netmask,10.99.210.27/32
srv-la-app19.corp.local,ip-netmask,10.215.129.28/32
srv-la-app20.corp.local,ip-netmask,10.9.208.29/32
range-la-segment,ip-range,10.132.57.10-10.205.119.50
updates.la.vendor.local,fqdn,updates.la.vendor.local
db.la.corp.local,fqdn,db.la.corp.local
legacy.la.corp,fqdn,legacy.la.corp
telemetry.la.iot,fqdn,telemetry.la.iot
any-address-alias,ip-netmask,any
