Name,Type,Value
net-core-172.16.0.0_12,ip-netmask,172.16.0.0/12
net-tier-172_1_0_0_16,ip-netmask,172.1.0.0/16
net-tier-172_2_0_0_16,ip-netmask,172.2.0.0/16
net-tier-172_3_0_0_16,ip-netmask,172.3.0.0/16
net-tier-172_4_0_0_16,ip-netmask,172.4.0.0/16
net-tier-172_5_0_0_16,ip-netmask,172.5.0.0/16
net-tier-172_6_0_0_16,ip-netmask,172.6.0.0/16
net-tier-172_7_0_0_16,ip-netmask,172.7.0.0/16
net-tier-172_8_0_0_16,ip-netmask,172.8.0.0/16
net-tier-172_9_0_0_16,ip-netmask,172.9.0.0/16
net-tier-172_10_0_0_16,ip-netmask,172.10.0.0/16
srv-lon-app01.corp.local,ip-netmask,172.89.137.10/32
srv-lon-app02.corp.local,ip-netmask,172.213.93.11/32
srv-lon-app03.corp.local,ip-netmask,172.106.231.12/32
srv-lon-app04.corp.local,ip-netmask,172.192.117.13/32
srv-lon-app05.corp.local,ip-netmask,172.97.47.14/32
srv-lon-app06.corp.local,ip-netmask,172.90.121.15/32
srv-lon-app07.corp.local,ip-netmask,172.234.26.16/32
srv-lon-app08.corp.local,ip-netmask,172.158.3.17/32
srv-lon-app09.corp.local,ip-netmask,172.170.76.18/32
srv-lon-app10.corp.local,ip-netmask,172.138.126.19/32
srv-lon-app11.corp.local,ip-netmask,172.229.148.20/32
srv-lon-app12.corp.local,ip-netmask,172.101.198.21/32
srv-lon-app13.corp.local,ip-netmask,172.32.221.22/32
srv-lon-app14.corp.local,ip-netmask,172.201.28.23/32
srv-lon-app15.corp.local,ip-netmask,172.131.77.24/32
srv-lon-app16.corp.local,ip-netmask,172.77.150.25/32
srv-lon-app17.corp.local,ip-netmask,172.11.251.26/32
srv-lon-app18.corp.local,ip-netmask,172.197.143.27/32
srv-lon-app19.corp.local,ip-netmask,172.136.114.28/32
srv-lon-app20.corp.local,ip-netmask,172.226.46.29/32
range-lon-segment,ip-range,172.109.178.10-172.115.219.50
updates.lon.vendor.local,fqdn,updates.lon.vendor.local
db.lon.corp.local,fqdn,db.lon.corp.local
legacy.lon.corp,fqdn,legacy.lon.corp
telemetry.lon.iot,fqdn,telemetry.lon.iot
any-address-alias,ip-netmask,any
