Name,Type,Value
net-trust-10.0.0.0_8,ip-netmask,10.0.0.0/8
net-trust-172.16.0.0_12,ip-netmask,172.16.0.0/12
net-trust-192.168.0.0_16,ip-netmask,192.168.0.0/16
net-trust-100.64.0.0_10,ip-netmask,100.64.0.0/10
net-trust-198.18.0.0_15,ip-netmask,198.18.0.0/15
net-dmz-10.1.1.0_24,ip-netmask,10.1.1.0/24
net-dmz-10.1.2.0_24,ip-netmask,10.1.2.0/24
net-dmz-10.1.3.0_24,ip-netmask,10.1.3.0/24
net-dmz-10.1.4.0_24,ip-netmask,10.1.4.0/24
net-dmz-10.1.5.0_24,ip-netmask,10.1.5.0/24
net-dmz-10.1.6.0_24,ip-netmask,10.1.6.0/24
net-dmz-10.1.7.0_24,ip-netmask,10.1.7.0/24
net-dmz-10.1.8.0_24,ip-netmask,10.1.8.0/24
net-dmz-10.1.9.0_24,ip-netmask,10.1.9.0/24
net-dmz-10.1.10.0_24,ip-netmask,10.1.10.0/24
srv-app01.corp.local,ip-netmask,10.2.3.10/32
srv-app02.corp.local,ip-netmask,10.2.3.11/32
srv-app03.corp.local,ip-netmask,10.2.3.12/32
srv-app04.corp.local,ip-netmask,10.2.3.13/32
srv-app05.corp.local,ip-netmask,10.2.3.14/32
srv-app06.corp.local,ip-netmask,10.2.3.15/32
srv-app07.corp.local,ip-netmask,10.2.3.16/32
srv-app08.corp.local,ip-netmask,10.2.3.17/32
srv-app09.corp.local,ip-netmask,10.2.3.18/32
srv-app10.corp.local,ip-netmask,10.2.3.19/32
srv-app11.corp.local,ip-netmask,10.2.3.20/32
srv-app12.corp.local,ip-netmask,10.2.3.21/32
srv-app13.corp.local,ip-netmask,10.2.3.22/32
srv-app14.corp.local,ip-netmask,10.2.3.23/32
srv-app15.corp.local,ip-netmask,10.2.3.24/32
srv-app16.corp.local,ip-netmask,10.2.3.25/32
srv-app17.corp.local,ip-netmask,10.2.3.26/32
srv-app18.corp.local,ip-netmask,10.2.3.27/32
srv-app19.corp.local,ip-netmask,10.2.3.28/32
srv-app20.corp.local,ip-netmask,10.2.3.29/32
range-dmz-printers,ip-range,10.3.0.10-10.3.0.50
range-branch-subnet-slice,ip-range,172.16.5.10-172.16.5.200
updates.vendor.local,fqdn,updates.vendor.local
db.corp.local,fqdn,db.corp.local
legacy.intranet.corp,fqdn,legacy.intranet.corp
telemetry.iot.local,fqdn,telemetry.iot.local
any-address-alias,ip-netmask,any
