Rule #,Name,Location,Tags,Type,Source Zone,Source Address,Source User,Source Device,Destination Zone,Destination Address,Destination Device,Application,Service,Action,Profile,Options,Target,Rule Usage Description,Rule Usage Rule Usage,Rule Usage Apps Seen,Days With No New Apps,Modified,Created
1,Allow_Guest_to_Trust_FTP,sg-cloudfw,,universal,Guest,any,svc_batch,any,Trust,SG_External_Vendors,any,smtp,ftp-bundle-tcp-20-21,allow,none,Traffic log sent at session end,PA-3410,Temporary allow per INC361029 (expires in 30d),411,"web-browsing, ssl",374,5/9/2025 3:29,6/15/2024 3:29
2,Block_Guest_to_DMZ_FTP,sg-cloudfw,,universal,Untrust,any,svc_backup,any,DMZ,any,any,any,ms-rpc-tcp-135,allow,none,Traffic log sent at start,PA-3410,,4077,(none),80,9/29/2025 0:23,3/29/2024 0:23
3,Allow_DMZ_to_Mgmt_FTP,sg-cloudfw,,universal,DMZ,SG_All_Addresses,any,any,Mgmt,192.50.60.14/32,any,web-browsing,SG_FTP_All,allow,strict,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Created during migration; documentation missing,363,"ftp, smb",312,10/14/2025 4:10,8/18/2025 4:10
4,Allow_Guest_to_DMZ_SMTP,sg-cloudfw,,universal,Guest,any,any,any,DMZ,SG_External_Vendors,any,smtp,SG_Windows_RPC_NetBIOS,allow,strict,Traffic log sent at session end,PA-3410,Operational requirement documented in INC506659,7657,"web-browsing, ssl",80,8/25/2025 5:18,8/10/2022 5:18
5,Allow_Internet_to_Mgmt_SMTP,sg-cloudfw,,universal,Untrust,any,domain\itops,any,Mgmt,192.99.122.19/32,any,smtp,socks-proxy-tcp-1080,allow,best-practice,none,PA-3410,Change approved under INC232529,0,dns,46,9/16/2025 4:56,7/21/2025 4:56
6,Allow_Guest_to_Mgmt_ANY-App,sg-cloudfw,,universal,Guest,any,svc_backup,any,Mgmt,SG_Internet_Tiers,any,any,snmp-tcp-161,allow,best-practice,log at both ends,PA-3410,Exception tracked in INC511043 pending remediation,2100,"web-browsing, ssl",339,6/19/2025 12:13,10/14/2024 12:13
7,Allow_DMZ_to_Mgmt_HTTP,sg-cloudfw,,universal,DMZ,192.251.141.24/32,domain\itops,any,Mgmt,SG_Corp_Internal,any,web-browsing,pop3-tcp-110,allow,none,Traffic log sent at session end,PA-3410,Temporary workaround—no ticket provided,0,"ftp, smb",352,3/22/2025 21:51,7/17/2023 21:51
8,Allow_Trust_to_DMZ_Telnet,sg-cloudfw,,universal,Trust,SG_Corp_Internal,svc_batch,any,DMZ,192.56.101.11/32,any,SG_App_Any_And_Web,telnet-tcp-23,allow,none,log at both ends,PA-3410,Operational requirement documented in INC984659,4462,(none),221,2/7/2025 4:24,2/7/2023 4:24
9,Allow_Mgmt_to_Mgmt_ANY-App,sg-cloudfw,,universal,Mgmt,any,svc_batch,any,Mgmt,net-tier-192_8_0_0_16,any,any,netbios-ns-tcp-137,allow,none,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Exception tracked in INC864508 pending remediation,6586,dns,203,2/14/2025 21:14,5/26/2023 21:14
10,Block_Mgmt_to_Guest_IMAP,sg-cloudfw,,universal,Untrust,any,svc_backup,any,DMZ,any,any,any,telnet-tcp-23,allow,none,Traffic log sent at session end,PA-3410,,263,dns,214,8/17/2025 5:51,3/27/2025 5:51
