Name,Protocol,Destination Port
ftp-data-tcp-20,tcp,20
ftp-control-tcp-21,tcp,21
telnet-tcp-23,tcp,23
http-tcp-80,tcp,80
socks-proxy-tcp-1080,tcp,1080
ms-rpc-tcp-135,tcp,135
ms-rpc-udp-135,udp,135
netbios-ns-tcp-137,tcp,137
netbios-ns-udp-137,udp,137
netbios-ssn-tcp-139,tcp,139
netbios-ssn-udp-139,udp,139
snmp-tcp-161,tcp,161
snmp-udp-161,udp,161
smb-tcp-445,tcp,445
rdp-tcp-3389,tcp,3389
backdoor-common-tcp-4444,tcp,4444
pop3-tcp-110,tcp,110
imap-alt-tcp-145,tcp,145
vnc-tcp-5900,tcp,5900
irc-tcp-6660-6669,tcp,6660-6669
ftp-bundle-tcp-20-21,tcp,20-21
tcp-any,tcp,0-65535
udp-any,udp,0-65535
https-tcp-443,tcp,443
dns-udp-53,udp,53
ntp-udp-123,udp,123
service-any,any,any
